"Pax","Issue.Date","Sector","Cls","Net"
1,8,1,6,2699
1,8,4,6,3695
1,8,4,6,3700
1,8,4,6,3700
1,8,4,6,3695
1,8,6,6,2200
1,8,6,6,2200
2,8,6,6,2200
1,8,2,6,3200
1,8,2,6,3910
1,8,2,6,3200
1,8,2,6,3200
1,8,2,6,3200
1,8,5,6,3500
1,8,5,6,3500
1,8,1,6,3700
1,8,1,6,3700
1,8,5,6,3500
1,8,2,6,3200
1,8,2,6,3200
1,8,2,6,3200
1,8,6,6,2200
1,8,6,6,2995
1,8,2,6,3910
1,8,5,6,3795
1,8,5,6,3795
1,8,5,6,3795
1,8,5,6,3795
1,8,5,6,3795
1,8,5,6,3795
1,8,3,6,2494
1,8,6,6,2894
1,8,3,6,2494
1,8,3,6,2500
1,8,3,6,2494
1,8,3,6,2494
1,8,3,6,2494
1,8,6,6,2894
2,8,6,6,2894
1,8,6,6,2200
1,8,6,6,2200
1,8,5,6,3910
1,8,2,6,3695
1,8,6,6,2894
1,8,2,6,3695
1,8,2,6,3695
1,8,5,6,3910
1,8,6,6,2894
1,8,3,6,2500
1,8,3,6,2494
1,8,1,6,3700
1,8,4,6,3195
1,8,2,6,3595
1,8,2,6,3595
1,8,3,6,2494
1,8,5,6,3910
1,8,4,6,3195
1,8,6,6,2500
1,8,6,6,2500
1,8,2,6,3695
1,8,4,6,3195
1,8,3,6,2494
1,8,2,6,3695
1,8,4,6,3195
1,8,4,6,3195
1,8,2,6,3695
1,8,5,6,3200
1,8,5,6,3200
1,12,2,6,3695
1,12,4,6,3195
1,12,2,6,3695
1,12,5,6,3910
1,12,6,6,3350
1,12,6,6,3350
1,12,6,6,3350
1,12,2,6,3695
1,12,2,6,3695
1,12,3,6,3094
1,12,4,6,3195
1,12,4,6,3195
1,12,3,6,2494
1,12,3,6,2494
1,12,3,6,3094
1,12,4,6,3200
1,12,4,6,3200
1,12,2,6,3695
1,12,2,6,3695
1,12,1,6,2995
1,12,1,6,2995
1,12,4,6,3200
1,12,6,6,3350
1,12,4,6,3200
1,12,1,6,2795
1,12,1,6,2795
1,12,1,6,2795
1,12,6,6,2500
1,12,6,6,2500
1,12,3,6,3094
1,12,1,6,2795
1,12,1,6,2694
1,12,1,6,2694
1,12,1,6,2694
1,12,4,6,3195
1,12,1,6,2795
1,12,5,6,3200
1,12,2,6,3200
1,12,3,6,2500
1,12,1,6,2694
1,12,5,6,3200
1,12,1,6,2795
1,12,4,6,3200
1,12,4,6,3200
1,12,3,6,2494
1,12,4,6,3200
1,12,1,6,2694
1,12,1,6,2694
